"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","test_login_without_mfa_returns_access_token","apps.api.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","0","test_login_with_validated_OTP_does_not_allow_to_login","apps.api.tests","2026-07-22","skipped","2026-07-22","","test_login","",""
"","22","test_user_with_MFA_enabled_can_not_log_in_with_empty_MFA_code","apps.api.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","3","test_login_xss_attempt_is_rejected","apps.api.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","290","test_wrong_password_does_not_allow_to_login","e2e.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","29","test_login_with_mfa_valid_otp_returns_access_token","apps.api.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","21","test_login_with_wrong_password_does_not_return_access_token","apps.api.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","390","test_login_password_is_masked","e2e.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","304","test_session_terminates_after_logout","e2e.tests","2026-07-22","passed","2026-07-22","","test_logout","",""
"","289","test_MFA_is_required_for_MFA_users","e2e.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","27","test_register_without_mfa_returns_201","apps.api.tests","2026-07-22","passed","2026-07-22","","test_registration","",""
"","3","test_health_endpoint_returns_ok","apps.api.tests","2026-07-22","passed","2026-07-22","","test_health","",""
"","102","test_register_password_is_masked","e2e.tests","2026-07-22","passed","2026-07-22","","test_register","",""
"","3","test_login_with_wrong_OTP_does_not_allow_to_login","apps.api.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"
    Requires `POST /auth/register/mfa/confirm` (not implemented yet) to finalize registration.
    ","49","test_register_with_mfa_returns_otpauth_url","apps.api.tests","2026-07-22","passed","2026-07-22","","test_registration","",""
"","104","test_not_authenticated_user_cannot_access_home_page","e2e.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","591","test_mfa_user_is_prompted_for_mfa_on_every_login","e2e.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","2","test_login_sql_injection_attempt_is_rejected","apps.api.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","334","test_session_token_is_stored_after_succesfull_login","e2e.tests","2026-07-22","passed","2026-07-22","","test_login","",""
"","22","test_expired_OTP_does_not_allow_to_login","apps.api.tests","2026-07-22","passed","2026-07-22","","test_login","",""
