"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","test_session_terminates_after_logout","e2e.tests","2026-05-21","passed","2026-05-21","","test_logout","",""
"","3","test_health_endpoint_returns_ok","apps.api.tests","2026-05-21","passed","2026-05-21","","test_health","",""
"
    Requires `POST /auth/register/mfa/confirm` (not implemented yet) to finalize registration.
    ","47","test_register_with_mfa_returns_otpauth_url","apps.api.tests","2026-05-21","passed","2026-05-21","","test_registration","",""
"","21","test_expired_OTP_does_not_allow_to_login","apps.api.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","21","test_login_with_wrong_OTP_does_not_allow_to_login","apps.api.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","26","test_register_the_same_email_twice_returns_400","apps.api.tests","2026-05-21","passed","2026-05-21","","test_registration","",""
"","27","test_register_without_mfa_returns_201","apps.api.tests","2026-05-21","passed","2026-05-21","","test_registration","",""
"","240","test_wrong_password_does_not_allow_to_login","e2e.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","252","test_session_token_is_stored_after_succesfull_login","e2e.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","149","test_wrong_confirm_password_does_not_allow_to_register","e2e.tests","2026-05-21","passed","2026-05-21","","test_register","",""
"","99","test_not_authenticated_user_cannot_access_home_page","e2e.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","0","test_login_with_validated_OTP_does_not_allow_to_login","apps.api.tests","2026-05-21","skipped","2026-05-21","","test_login","",""
"","88","test_register_password_is_masked","e2e.tests","2026-05-21","passed","2026-05-21","","test_register","",""
"","249","test_MFA_is_required_for_MFA_users","e2e.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","93","test_login_password_is_masked","e2e.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","125","test_login_link_redirects_to_login_page","e2e.tests","2026-05-21","passed","2026-05-21","","test_register","",""
"","113","test_wrong_email_format_displays_error_message","e2e.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","367","test_register_button_redirects_to_register_page","e2e.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","46","test_login_with_wrong_password_does_not_return_access_token","apps.api.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","21","test_user_with_MFA_enabled_can_not_log_in_with_empty_MFA_code","apps.api.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","30","test_login_with_mfa_valid_otp_returns_access_token","apps.api.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","2","test_login_xss_attempt_is_rejected","apps.api.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","516","test_mfa_user_is_prompted_for_mfa_on_every_login","e2e.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","3","test_login_sql_injection_attempt_is_rejected","apps.api.tests","2026-05-21","passed","2026-05-21","","test_login","",""
"","94","test_wrong_register_email_format_displays_error_message","e2e.tests","2026-05-21","passed","2026-05-21","","test_register","",""
"","26","test_login_without_mfa_returns_access_token","apps.api.tests","2026-05-21","passed","2026-05-21","","test_login","",""
